,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Unnamed: 0.1.1.1,Avg.,CR,MPQA,MR,MRPC,SICKRelatedness,SST2,STSBenchmark,SUBJ,TREC,epoch,step,STS12,STS13,STS14,STS15,STS16
142,142,142.0,,,15.6,0.0,0.0,0.0,0.0,65.86,0.0,74.53,0.0,0.0,2,525599,,,,,
143,143,143.0,,,15.55,0.0,0.0,0.0,0.0,65.62,0.0,74.37,0.0,0.0,1,370799,,,,,
144,144,144.0,,,15.7,0.0,0.0,0.0,0.0,66.72,0.0,74.6,0.0,0.0,1,446399,,,,,
145,145,145.0,,,15.63,0.0,0.0,0.0,0.0,66.19,0.0,74.45,0.0,0.0,1,424799,,,,,
146,146,146.0,,,15.63,0.0,0.0,0.0,0.0,66.35,0.0,74.34,0.0,0.0,2,543599,,,,,
147,147,147.0,,,15.7,0.0,0.0,0.0,0.0,66.83,0.0,74.45,0.0,0.0,1,413999,,,,,
148,148,148.0,,,15.6,0.0,0.0,0.0,0.0,66.01,0.0,74.37,0.0,0.0,1,482399,,,,,
149,149,149.0,,,15.61,0.0,0.0,0.0,0.0,65.99,0.0,74.51,0.0,0.0,1,377999,,,,,
150,150,150.0,,,15.6,0.0,0.0,0.0,0.0,65.95,0.0,74.43,0.0,0.0,1,388799,,,,,
151,151,151.0,,,15.6,0.0,0.0,0.0,0.0,65.82,0.0,74.62,0.0,0.0,1,399599,,,,,
152,152,152.0,,,15.62,0.0,0.0,0.0,0.0,66.4,0.0,74.22,0.0,0.0,1,449999,,,,,
153,153,,,,10.08,0.0,0.0,0.0,0.0,66.49,0.0,74.65,0.0,0.0,2,554399,0.0,0.0,0.0,0.0,0.0
154,154,,,,10.02,0.0,0.0,0.0,0.0,65.97,0.0,74.34,0.0,0.0,2,561599,0.0,0.0,0.0,0.0,0.0
155,155,,,,10.06,0.0,0.0,0.0,0.0,66.44,0.0,74.35,0.0,0.0,2,590399,0.0,0.0,0.0,0.0,0.0
156,156,,,,10.06,0.0,0.0,0.0,0.0,66.2,0.0,74.59,0.0,0.0,2,565199,0.0,0.0,0.0,0.0,0.0
157,157,,,,10.05,0.0,0.0,0.0,0.0,66.37,0.0,74.37,0.0,0.0,2,575999,0.0,0.0,0.0,0.0,0.0
158,158,,,,10.07,0.0,0.0,0.0,0.0,66.37,0.0,74.62,0.0,0.0,2,597599,0.0,0.0,0.0,0.0,0.0
159,159,,,,10.05,0.0,0.0,0.0,0.0,66.28,0.0,74.42,0.0,0.0,2,568799,0.0,0.0,0.0,0.0,0.0
160,160,,,,10.08,0.0,0.0,0.0,0.0,66.53,0.0,74.54,0.0,0.0,2,583199,0.0,0.0,0.0,0.0,0.0
161,161,,,,10.04,0.0,0.0,0.0,0.0,66.03,0.0,74.59,0.0,0.0,2,593999,0.0,0.0,0.0,0.0,0.0
162,162,,,,10.01,0.0,0.0,0.0,0.0,65.77,0.0,74.41,0.0,0.0,2,579599,0.0,0.0,0.0,0.0,0.0
163,163,,,,10.07,0.0,0.0,0.0,0.0,66.52,0.0,74.41,0.0,0.0,2,572399,0.0,0.0,0.0,0.0,0.0
164,164,,,,10.05,0.0,0.0,0.0,0.0,66.11,0.0,74.53,0.0,0.0,2,586799,0.0,0.0,0.0,0.0,0.0
165,165,,,,10.03,0.0,0.0,0.0,0.0,66.14,0.0,74.33,0.0,0.0,2,557999,0.0,0.0,0.0,0.0,0.0
