,Unnamed: 0,Unnamed: 0.1,Unnamed: 0.1.1,Avg.,CR,MPQA,MR,MRPC,SICKRelatedness,SST2,STSBenchmark,SUBJ,TREC,epoch,step
114,,,,15.87,0.00,0.00,0.00,0.00,67.41,0.00,75.39,0.00,0.00,1,313999
115,,,,15.87,0.00,0.00,0.00,0.00,67.22,0.00,75.61,0.00,0.00,1,315999
116,,,,15.89,0.00,0.00,0.00,0.00,67.59,0.00,75.45,0.00,0.00,1,317999
117,,,,15.92,0.00,0.00,0.00,0.00,67.63,0.00,75.68,0.00,0.00,1,319999
118,,,,15.88,0.00,0.00,0.00,0.00,67.29,0.00,75.63,0.00,0.00,1,321999
119,,,,15.84,0.00,0.00,0.00,0.00,67.04,0.00,75.49,0.00,0.00,1,323999
120,,,,15.86,0.00,0.00,0.00,0.00,67.16,0.00,75.60,0.00,0.00,1,325999
121,,,,15.92,0.00,0.00,0.00,0.00,67.60,0.00,75.72,0.00,0.00,1,327999
122,,,,15.88,0.00,0.00,0.00,0.00,67.39,0.00,75.54,0.00,0.00,1,329999
123,,,,15.88,0.00,0.00,0.00,0.00,67.32,0.00,75.58,0.00,0.00,1,331999
124,,,,15.89,0.00,0.00,0.00,0.00,67.50,0.00,75.54,0.00,0.00,1,333999
125,,,,15.89,0.00,0.00,0.00,0.00,67.59,0.00,75.40,0.00,0.00,1,335999
126,,,,15.85,0.00,0.00,0.00,0.00,67.11,0.00,75.51,0.00,0.00,1,337999
127,,,,15.86,0.00,0.00,0.00,0.00,67.28,0.00,75.48,0.00,0.00,1,339999
128,,,,15.86,0.00,0.00,0.00,0.00,67.18,0.00,75.52,0.00,0.00,1,341999
129,,,,15.89,0.00,0.00,0.00,0.00,67.41,0.00,75.60,0.00,0.00,1,343999
130,,,,15.87,0.00,0.00,0.00,0.00,67.32,0.00,75.54,0.00,0.00,1,345999
131,,,,15.86,0.00,0.00,0.00,0.00,67.17,0.00,75.56,0.00,0.00,1,347999
132,,,,15.82,0.00,0.00,0.00,0.00,66.81,0.00,75.60,0.00,0.00,1,349999
133,,,,15.88,0.00,0.00,0.00,0.00,67.55,0.00,75.38,0.00,0.00,1,351999
134,,,,15.85,0.00,0.00,0.00,0.00,66.98,0.00,75.64,0.00,0.00,1,353999
135,,,,15.83,0.00,0.00,0.00,0.00,66.95,0.00,75.48,0.00,0.00,1,355999
136,,,,15.86,0.00,0.00,0.00,0.00,67.12,0.00,75.63,0.00,0.00,1,357999
137,,,,15.87,0.00,0.00,0.00,0.00,67.31,0.00,75.51,0.00,0.00,1,359999
138,,,,15.90,0.00,0.00,0.00,0.00,67.51,0.00,75.56,0.00,0.00,1,361999
139,,,,15.87,0.00,0.00,0.00,0.00,67.20,0.00,75.65,0.00,0.00,1,363999
140,,,,15.85,0.00,0.00,0.00,0.00,67.24,0.00,75.44,0.00,0.00,1,365999
141,,,,15.90,0.00,0.00,0.00,0.00,67.73,0.00,75.41,0.00,0.00,1,367999
142,,,,15.89,0.00,0.00,0.00,0.00,67.36,0.00,75.64,0.00,0.00,1,369999
143,,,,15.91,0.00,0.00,0.00,0.00,67.56,0.00,75.59,0.00,0.00,1,371999
144,,,,15.85,0.00,0.00,0.00,0.00,67.12,0.00,75.57,0.00,0.00,1,373999
145,,,,15.85,0.00,0.00,0.00,0.00,67.11,0.00,75.50,0.00,0.00,1,375999
146,,,,15.88,0.00,0.00,0.00,0.00,67.28,0.00,75.61,0.00,0.00,1,377999
147,,,,15.84,0.00,0.00,0.00,0.00,67.12,0.00,75.42,0.00,0.00,1,379999
